Date,Open,High,Low,Close,Adj Close,Volume
2002-11-28,95.0,100.0,80.0,97.5,73.11924,16091000
2002-11-29,97.5,105.0,97.5,100.0,74.994095,11676000
2002-12-03,107.5,110.0,105.0,107.5,80.618652,3825000
2002-12-04,107.5,107.5,105.0,105.0,78.743797,454000
2002-12-11,102.5,105.0,100.0,105.0,78.743797,934000
2002-12-12,102.5,105.0,102.5,105.0,78.743797,200000
2002-12-13,102.5,102.5,97.5,97.5,73.11924,1072000
2002-12-16,95.0,95.0,92.5,95.0,71.244385,751000
2002-12-17,92.5,92.5,90.0,90.0,67.494682,0
2002-12-18,90.0,92.5,90.0,92.5,69.36953000000001,76000
2002-12-19,90.0,90.0,90.0,90.0,67.494682,284000
2002-12-20,90.0,90.0,90.0,90.0,67.494682,52000
2002-12-23,90.0,90.0,90.0,90.0,67.494682,65000
2002-12-27,90.0,100.0,90.0,97.5,73.11924,222000
2003-01-02,90.0,90.0,90.0,90.0,67.494682,100000
2003-01-03,90.0,90.0,87.5,87.5,65.619827,1028000
2003-01-06,85.0,85.0,85.0,85.0,63.744983999999995,350000
2003-01-07,87.5,90.0,87.5,90.0,67.494682,417000
2003-01-08,90.0,90.0,85.0,85.0,63.744983999999995,0
2003-01-09,85.0,85.0,85.0,85.0,63.744983999999995,10000
2003-01-10,85.0,85.0,85.0,85.0,63.744983999999995,310000
2003-01-13,97.5,97.5,82.5,82.5,61.870125,0
2003-01-14,85.0,85.0,85.0,85.0,63.744983999999995,318000
2003-01-15,82.5,87.5,82.5,87.5,65.619827,60000
2003-01-16,95.0,95.0,82.5,82.5,61.870125,0
2003-01-17,87.5,90.0,87.5,90.0,67.494682,40000
2003-01-20,90.0,90.0,82.5,82.5,61.870125,0
2003-01-21,90.0,90.0,82.5,82.5,61.870125,0
2003-01-22,90.0,90.0,82.5,82.5,61.870125,0
2003-01-23,87.5,87.5,82.5,82.5,61.870125,0
2003-01-24,82.5,82.5,82.5,82.5,61.870125,10000
2003-01-27,85.0,87.5,82.5,82.5,61.870125,54000
2003-01-28,95.0,95.0,82.5,82.5,61.870125,0
2003-01-29,92.5,92.5,82.5,82.5,61.870125,0
2003-01-30,85.0,85.0,82.5,82.5,61.870125,0
2003-01-31,85.0,87.5,85.0,87.5,65.619827,71000
2003-02-03,85.0,85.0,82.5,82.5,61.870125,0
2003-02-04,82.5,82.5,82.5,82.5,61.870125,50000
2003-02-05,82.5,82.5,82.5,82.5,61.870125,130000
2003-02-06,82.5,82.5,82.5,82.5,61.870125,220000
2003-02-07,87.5,87.5,80.0,80.0,59.995277,0
2003-02-10,62.5,82.5,62.5,82.5,61.870125,51000
2003-02-11,85.0,85.0,85.0,85.0,63.744983999999995,40000
2003-02-13,80.0,80.0,80.0,80.0,59.995277,20000
2003-02-14,92.5,92.5,80.0,80.0,59.995277,0
2003-02-17,95.0,95.0,80.0,80.0,59.995277,0
2003-02-18,95.0,95.0,82.5,82.5,61.870125,0
2003-02-19,82.5,82.5,82.5,82.5,61.870125,36000
2003-02-20,82.5,85.0,82.5,85.0,63.744983999999995,104000
2003-02-21,82.5,82.5,82.5,82.5,61.870125,54000
2003-02-24,87.5,87.5,80.0,80.0,59.995277,0
2003-02-25,95.0,95.0,80.0,80.0,59.995277,0
2003-02-26,85.0,85.0,80.0,80.0,59.995277,0
